J, Jp,  transition energy (au), line strength (au), the level inverse lifetime (au), transition energy (nm) ,linewidth (Hz)
9.0,9.0,0.22575122,2.132e-7,0.0,202.0,0.0
9.0,8.0,0.22653127,2.71e-7,0.0,201.0,0.0
9.0,9.0,0.22690671,4.476e-7,0.0,201.0,0.0
9.0,8.0,0.22693997,6.144e-8,0.0,201.0,0.0
9.0,8.0,0.22765987,9.516e-6,0.0,200.0,0.0
9.0,10.0,0.22787128,9.111e-7,0.0,200.0,0.0
9.0,9.0,0.22799339,1.574e-5,0.0,200.0,0.0
9.0,9.0,0.23030482,6.975e-7,0.0,198.0,0.0
9.0,8.0,0.23148172,3.037e-6,0.0,197.0,0.0
9.0,8.0,0.23232737,7.692e-6,0.0,196.0,0.0
9.0,10.0,0.23295888,2.195e-6,0.0,196.0,0.0
9.0,10.0,0.23378084,0.0001161,0.0,195.0,0.0
9.0,9.0,0.23392619,4.169e-6,0.0,195.0,0.0
9.0,8.0,0.23554505,2.963e-7,0.0,193.0,0.0
9.0,8.0,0.23703588,5.861e-5,0.0,192.0,0.0
9.0,9.0,0.23713885,9.621e-5,0.0,192.0,0.0
9.0,8.0,0.23823101,1.299e-5,0.0,191.0,0.0
9.0,9.0,0.23856772,9.328e-5,0.0,191.0,0.0
9.0,8.0,0.23895136,7.258e-5,0.0,191.0,0.0
9.0,8.0,0.2398567,7.947e-7,0.0,190.0,0.0
9.0,8.0,0.24025857,2.683e-6,0.0,190.0,0.0
9.0,10.0,0.24112929,0.0001627,0.0,189.0,0.0
9.0,9.0,0.24127418,7.652e-7,0.0,189.0,0.0
9.0,9.0,0.24181911,0.001059,0.0,188.0,0.0
9.0,8.0,0.24186513,4.745e-7,0.0,188.0,0.0
9.0,10.0,0.24263242,6.034e-8,0.0,188.0,0.0
9.0,9.0,0.24301971,2.184e-6,0.0,187.0,0.0
9.0,8.0,0.2433587,3.105e-5,0.0,187.0,0.0
9.0,9.0,0.2433669,6.339e-5,0.0,187.0,0.0
9.0,8.0,0.24391457,0.0002072,0.0,187.0,0.0
9.0,8.0,0.24473334,0.0001716,0.0,186.0,0.0
9.0,8.0,0.24705889,1.137e-5,0.0,184.0,0.0
9.0,10.0,0.24725026,5.77e-6,0.0,184.0,0.0
9.0,9.0,0.24732361,7.446e-5,0.0,184.0,0.0
9.0,8.0,0.24859711,1.458e-6,0.0,183.0,0.0
9.0,10.0,0.2488231,3.994e-5,0.0,183.0,0.0
9.0,8.0,0.24982595,1.296e-7,0.0,182.0,0.0
9.0,10.0,0.24996856,1.888e-6,0.0,182.0,0.0
9.0,9.0,0.25071079,1.249e-5,0.0,182.0,0.0
9.0,9.0,0.25137464,3.124e-7,0.0,181.0,0.0
9.0,8.0,0.2514922,1.379e-7,0.0,181.0,0.0
9.0,9.0,0.25158105,9.931e-7,0.0,181.0,0.0
9.0,8.0,0.25172913,9.708e-6,0.0,181.0,0.0
9.0,8.0,0.25194464,9.762e-6,0.0,181.0,0.0
9.0,10.0,0.25216881,7.189e-7,0.0,181.0,0.0
9.0,8.0,0.25249094,1.516e-5,0.0,180.0,0.0
9.0,10.0,0.2526208,1.022e-7,0.0,180.0,0.0
9.0,8.0,0.25285955,7.577e-8,0.0,180.0,0.0
9.0,8.0,0.25324183,3.846e-5,0.0,180.0,0.0
9.0,8.0,0.25382595,1.768e-10,0.0,179.0,0.0
9.0,9.0,0.2542989,5.556e-5,0.0,179.0,0.0
9.0,9.0,0.25465247,8.496e-9,0.0,179.0,0.0
9.0,8.0,0.25517417,3.245e-6,0.0,179.0,0.0
9.0,8.0,0.25541975,1.638e-6,0.0,178.0,0.0
9.0,9.0,0.25550678,6.132e-7,0.0,178.0,0.0
9.0,10.0,0.25552774,2.09e-6,0.0,178.0,0.0
9.0,8.0,0.25627042,9.592e-7,0.0,178.0,0.0
9.0,10.0,0.25644857,9.151e-6,0.0,178.0,0.0
9.0,9.0,0.2566814,4.417e-7,0.0,177.0,0.0
9.0,8.0,0.25715207,4.923e-7,0.0,177.0,0.0
9.0,9.0,0.25723955,2.946e-5,0.0,177.0,0.0
9.0,10.0,0.25808247,2.816e-7,0.0,176.0,0.0
9.0,8.0,0.25990044,2.364e-7,0.0,175.0,0.0
9.0,8.0,0.26061214,3.785e-6,0.0,175.0,0.0
9.0,9.0,0.26095341,2.247e-6,0.0,175.0,0.0
9.0,9.0,0.26204329,7.444e-9,0.0,174.0,0.0
9.0,8.0,0.26246702,3.044e-6,0.0,174.0,0.0
9.0,8.0,0.26252899,4.962e-6,0.0,174.0,0.0
9.0,8.0,0.26393462,1.731e-6,0.0,173.0,0.0
9.0,9.0,0.26412644,3.291e-8,0.0,172.0,0.0
9.0,9.0,0.26481718,2.677e-6,0.0,172.0,0.0
9.0,10.0,0.26576079,3.425e-8,0.0,171.0,0.0
9.0,8.0,0.26829912,1.841e-6,0.0,170.0,0.0
9.0,10.0,0.26878483,1.061e-6,0.0,169.0,0.0
9.0,8.0,0.27032988,1.789e-9,0.0,169.0,0.0
9.0,8.0,0.27359358,1.998e-7,0.0,166.0,0.0
9.0,9.0,0.27359449,1.069e-6,0.0,166.0,0.0
9.0,9.0,0.27381911,6.565e-7,0.0,166.0,0.0
9.0,10.0,0.27415537,9.054e-7,0.0,166.0,0.0
9.0,8.0,0.27423921,5.012e-11,0.0,166.0,0.0
9.0,9.0,0.2742629,1.579e-7,0.0,166.0,0.0
9.0,10.0,0.27516915,2.731e-6,0.0,166.0,0.0
9.0,10.0,0.27522429,7.838e-6,0.0,166.0,0.0
9.0,9.0,0.27596742,2.817e-7,0.0,165.0,0.0
9.0,8.0,0.27625356,7.483e-6,0.0,165.0,0.0
9.0,9.0,0.27811938,2.995e-6,0.0,164.0,0.0
9.0,8.0,0.27908395,1.072e-6,0.0,163.0,0.0
9.0,9.0,0.27917963,1.961e-5,0.0,163.0,0.0
9.0,8.0,0.27965714,4.591e-7,0.0,163.0,0.0
9.0,8.0,0.28007905,4.764e-7,0.0,163.0,0.0
9.0,10.0,0.28038478,7.843e-8,0.0,162.0,0.0
9.0,8.0,0.28116984,3.022e-8,0.0,162.0,0.0
9.0,9.0,0.28126142,4.071e-5,0.0,162.0,0.0
9.0,8.0,0.28164233,1.141e-6,0.0,162.0,0.0
9.0,9.0,0.28174166,1.557e-5,0.0,162.0,0.0
9.0,9.0,0.28199089,3.417e-5,0.0,162.0,0.0
9.0,8.0,0.28229753,1.518e-5,0.0,161.0,0.0
9.0,10.0,0.282837,6.013e-8,0.0,161.0,0.0
9.0,8.0,0.28341474,1.162e-5,0.0,161.0,0.0
9.0,8.0,0.28383073,7.132e-7,0.0,160.0,0.0
9.0,9.0,0.28431279,8.359e-6,0.0,160.0,0.0
9.0,8.0,0.2843178,1.917e-6,0.0,160.0,0.0
9.0,10.0,0.28499761,2.021e-7,0.0,160.0,0.0
9.0,8.0,0.2867322,6.282e-9,0.0,159.0,0.0
9.0,9.0,0.28721472,2.256e-6,0.0,159.0,0.0
9.0,9.0,0.28756282,6.141e-6,0.0,158.0,0.0
9.0,10.0,0.28845814,1.286e-7,0.0,158.0,0.0
9.0,8.0,0.28936758,3.216e-7,0.0,157.0,0.0
